study_id,StudyClass,Treatment Focus (Study level),Total N Randomized (Study level),Outcome,Outcome Measure,Comparison,NCPTSD Treatment Names,Assessment Point Category,Assessment Point,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Military Status (Study level),Active Duty Military (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
resick2008_STAXIAnge_Omnibus_0_ITT_2,Psychotherapy,PTSD,162,Anger,STAXI - Anger Out,Omnibus,Cognitive Processing Therapy (CPT) vs Written narrative exposure vs Cognitive Processing Therapy (CPT),End of Treatment,0,ITT,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence",Medium,"Resick PA, Galovski TE, Uhlmansiek MOB, et al. A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence. J Consult Clin Psychol. 2008 Apr;76(2):243-58. doi: 10.1037/0022-006X.76.2.243. PMID: 18377121.",30597,2019
resick2008_STAXIAnge_Omnibus_26_Comp_1,Psychotherapy,PTSD,162,Anger,STAXI - Anger In,Omnibus,Cognitive Processing Therapy (CPT) vs Written narrative exposure vs Cognitive Processing Therapy (CPT),Assessment at 6 to <12 Months,26,Completer,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence",Medium,"Resick PA, Galovski TE, Uhlmansiek MOB, et al. A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence. J Consult Clin Psychol. 2008 Apr;76(2):243-58. doi: 10.1037/0022-006X.76.2.243. PMID: 18377121.",30597,2019
resick2008_STAXIAnge_Omnibus_26_Comp_2,Psychotherapy,PTSD,162,Anger,STAXI - Anger Out,Omnibus,Cognitive Processing Therapy (CPT) vs Written narrative exposure vs Cognitive Processing Therapy (CPT),Assessment at 6 to <12 Months,26,Completer,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence",Medium,"Resick PA, Galovski TE, Uhlmansiek MOB, et al. A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence. J Consult Clin Psychol. 2008 Apr;76(2):243-58. doi: 10.1037/0022-006X.76.2.243. PMID: 18377121.",30597,2019
resick2008_STAXIAnge_Omnibus_26_ITT_1,Psychotherapy,PTSD,162,Anger,STAXI - Anger In,Omnibus,Cognitive Processing Therapy (CPT) vs Written narrative exposure vs Cognitive Processing Therapy (CPT),Assessment at 6 to <12 Months,26,ITT,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence",Medium,"Resick PA, Galovski TE, Uhlmansiek MOB, et al. A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence. J Consult Clin Psychol. 2008 Apr;76(2):243-58. doi: 10.1037/0022-006X.76.2.243. PMID: 18377121.",30597,2019
rothbaum1997_BDI_AvsB_0_Comp_1,Psychotherapy,PTSD,21,Depression,BDI,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.05,,,,,,,,Community,,,1,1,,0,Rape/sexual assault,,Medium,Rothbaum BO. A controlled study of Eye Movement Desensitization and Reprocessing in the treatment of posttraumatic stress disordered sexual assault victims. Bull Menninger Clin. 1997 Summer;61(3):317-34.  PMID: 9260344.,9058,2019
resick2008_STAXIAnge_Omnibus_26_ITT_2,Psychotherapy,PTSD,162,Anger,STAXI - Anger Out,Omnibus,Cognitive Processing Therapy (CPT) vs Written narrative exposure vs Cognitive Processing Therapy (CPT),Assessment at 6 to <12 Months,26,ITT,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence",Medium,"Resick PA, Galovski TE, Uhlmansiek MOB, et al. A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence. J Consult Clin Psychol. 2008 Apr;76(2):243-58. doi: 10.1037/0022-006X.76.2.243. PMID: 18377121.",30597,2019
resick2015_BDIII_AvsB_0_Comp_1,Psychotherapy,PTSD,108,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Present Centered Therapy (PCT),End of Treatment,0,Completer,,Cohen's d,-0.3,,,,p=0.049,,,,,,,,Active Duty Military,1,0,0,0.0741,,0.9259,Mixed,"combat-related, child sexual abuse",Medium,"Resick PA, Wachen JS, Mintz J, et al. A randomized clinical trial of group cognitive processing therapy compared with group present-centered therapy for PTSD among active duty military personnel. J Consult Clin Psychol. 2015 Dec;83(6):1058-68. doi: 10.1037/ccp0000016. PMID: 25939018.",43929,2020
resick2015_BDIII_AvsB_26_Comp_1,Psychotherapy,PTSD,108,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Present Centered Therapy (PCT),Assessment at 6 to <12 Months,26,Completer,,Cohen's d,-0.3,,,,,,,,,,,,Active Duty Military,1,0,0,0.0741,,0.9259,Mixed,"combat-related, child sexual abuse",Medium,"Resick PA, Wachen JS, Mintz J, et al. A randomized clinical trial of group cognitive processing therapy compared with group present-centered therapy for PTSD among active duty military personnel. J Consult Clin Psychol. 2015 Dec;83(6):1058-68. doi: 10.1037/ccp0000016. PMID: 25939018.",43929,2020
resick2015_BDIII_AvsB_52_Comp_1,Psychotherapy,PTSD,108,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Present Centered Therapy (PCT),Assessment at ≥12 Months,52,Completer,,Cohen's d,-0.3,,,,p=0.56,,,,,,,,Active Duty Military,1,0,0,0.0741,,0.9259,Mixed,"combat-related, child sexual abuse",Medium,"Resick PA, Wachen JS, Mintz J, et al. A randomized clinical trial of group cognitive processing therapy compared with group present-centered therapy for PTSD among active duty military personnel. J Consult Clin Psychol. 2015 Dec;83(6):1058-68. doi: 10.1037/ccp0000016. PMID: 25939018.",43929,2020
resick2017_BDIII_AvsB_0_Comp_1,Psychotherapy,PTSD,268,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Cognitive Processing Therapy (CPT),End of Treatment,0,Completer,,Cohen's d,0.5,,,,p=0.016,,,,,,,,Active Duty Military,1,0,0,0.09,,0.91,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (noncombat death)",Medium,"Resick PA, Wachen JS, Dondanville KA, et al. Effect of group vs individual cognitive processing therapy in active-duty military seeking treatment for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2017 Jan;74(1):28-36.  PMID: 27893032.",45949,2019
resick2017_BDIII_AvsB_0_ITT_1,Psychotherapy,PTSD,268,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Cognitive Processing Therapy (CPT),End of Treatment,0,ITT,,Cohen's d,0.24,,,,p=0.18,,,,,,,,Active Duty Military,1,0,0,0.09,,0.91,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (noncombat death)",Medium,"Resick PA, Wachen JS, Dondanville KA, et al. Effect of group vs individual cognitive processing therapy in active-duty military seeking treatment for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2017 Jan;74(1):28-36.  PMID: 27893032.",45949,2019
resick2017_BDIII_AvsB_26_Comp_1,Psychotherapy,PTSD,268,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Cognitive Processing Therapy (CPT),Assessment at 6 to <12 Months,26,Completer,,Cohen's d,0.38,,,,p=0.01,,,,,,,,Active Duty Military,1,0,0,0.09,,0.91,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (noncombat death)",Medium,"Resick PA, Wachen JS, Dondanville KA, et al. Effect of group vs individual cognitive processing therapy in active-duty military seeking treatment for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2017 Jan;74(1):28-36.  PMID: 27893032.",45949,2019
resick2017_BDIII_AvsB_26_ITT_1,Psychotherapy,PTSD,268,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Cognitive Processing Therapy (CPT),Assessment at 6 to <12 Months,26,ITT,,Cohen's d,0.12,,,,p=0.56,,,,,,,,Active Duty Military,1,0,0,0.09,,0.91,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (noncombat death)",Medium,"Resick PA, Wachen JS, Dondanville KA, et al. Effect of group vs individual cognitive processing therapy in active-duty military seeking treatment for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2017 Jan;74(1):28-36.  PMID: 27893032.",45949,2019
richards1994_BDI_AvsB_0_Comp_1,Psychotherapy,PTSD,14,Depression,BDI,A vs B,Exposure therapy vs Exposure therapy,End of Treatment,0,Completer,Treatment x Time interaction,,,,,,p=NS,,,,,,,,Community,,,1,0.6923,(completers only),0.3077,Mixed,"rape/sexual assault, accidents, community/school violence, natural or manmade disasters",High,"Richards DA, Lovell K, Marks IM. Post-traumatic stress disorder: evaluation of a behavioral treatment program. J Trauma Stress. 1994 Oct;7(4):669-80. doi: 10.1007/BF02103014. PMID: 7820356.",12187,2019
richards1994_GHQ30_AvsB_0_Comp_1,Psychotherapy,PTSD,14,Functioning,GHQ-30,A vs B,Exposure therapy vs Exposure therapy,End of Treatment,0,Completer,Treatment x Time interaction,,,,,,p=NS,,,,,,,,Community,,,1,0.6923,(completers only),0.3077,Mixed,"rape/sexual assault, accidents, community/school violence, natural or manmade disasters",High,"Richards DA, Lovell K, Marks IM. Post-traumatic stress disorder: evaluation of a behavioral treatment program. J Trauma Stress. 1994 Oct;7(4):669-80. doi: 10.1007/BF02103014. PMID: 7820356.",12187,2019
richards1994_WAS_AvsB_0_Comp_1,Psychotherapy,PTSD,14,Functioning,WAS,A vs B,Exposure therapy vs Exposure therapy,End of Treatment,0,Completer,Treatment x Time interaction,,,,,,p=NS,,,,,,,,Community,,,1,0.6923,(completers only),0.3077,Mixed,"rape/sexual assault, accidents, community/school violence, natural or manmade disasters",High,"Richards DA, Lovell K, Marks IM. Post-traumatic stress disorder: evaluation of a behavioral treatment program. J Trauma Stress. 1994 Oct;7(4):669-80. doi: 10.1007/BF02103014. PMID: 7820356.",12187,2019
rosenbaum2015_PSQItotal_AvsB_0_ITT_1,Complementary and integrative health (CIH),PTSD,81,Sleep,PSQI (total),A vs B,Exercise vs Treatment as usual (TAU),End of Treatment,0,ITT,,partial eta-squared,0.06,,,,p=0.08,,,,,,,,Community,,,1,0.1605,,0.8395,Mixed,"other (trauma experienced through occupation, not specified)",Medium,"Rosenbaum S, Sherrington C, Tiedemann A. Exercise augmentation compared with usual care for post-traumatic stress disorder: a randomized controlled trial. Acta Psychiatr Scand. 2015 May;131(5):350-9. doi: 10.1111/acps.12371. PMID: 25443996.",44069,2019
robjant2019_AppetitiveA_AvsB_12_Comp_1,Psychotherapy,PTSD,92,Anger,Appetitive Aggression Scale,A vs B,Narrative Exposure Therapy (NET) vs Treatment as usual (TAU),Assessment at 3 to <6 Months,12,Completer,Endpoint difference,Cohen's d,-0.54,95% CI,-1.09,-0.03,p=NS,,,,,,,,Community,0,0,1,1,,0,Other (former child soldiers),,Medium,"Robjant K, Koebach A, Schmitt S, et al. The treatment of posttraumatic stress symptoms and aggression in female former child soldiers using adapted Narrative Exposure therapy - a RCT in Eastern Democratic Republic of Congo. Behav Res Ther. 2019 Dec;123:103482. doi: 10.1016/j.brat.2019.103482. PMID: 31639529.",,2020
robjant2019_AppetitiveA_AvsB_39_Comp_1,Psychotherapy,PTSD,92,Anger,Appetitive Aggression Scale,A vs B,Narrative Exposure Therapy (NET) vs Treatment as usual (TAU),Assessment at 6 to <12 Months,39,Completer,Difference in change from baseline: Group x Time interaction,,,,,,p<0.001,Endpoint difference,Cohen's d,-0.98,95% CI,-1.47,-0.53,p=significant,Community,0,0,1,1,,0,Other (former child soldiers),,Medium,"Robjant K, Koebach A, Schmitt S, et al. The treatment of posttraumatic stress symptoms and aggression in female former child soldiers using adapted Narrative Exposure therapy - a RCT in Eastern Democratic Republic of Congo. Behav Res Ther. 2019 Dec;123:103482. doi: 10.1016/j.brat.2019.103482. PMID: 31639529.",,2020
robjant2019_CurrentViol_AvsB_12_Comp_1,Psychotherapy,PTSD,92,Anger,Current Violent Behavior (32-item checklist),A vs B,Narrative Exposure Therapy (NET) vs Treatment as usual (TAU),Assessment at 3 to <6 Months,12,Completer,Endpoint difference,Cohen's d,-1.25,95% CI,-1.83,-0.73,p=significant,,,,,,,,Community,0,0,1,1,,0,Other (former child soldiers),,Medium,"Robjant K, Koebach A, Schmitt S, et al. The treatment of posttraumatic stress symptoms and aggression in female former child soldiers using adapted Narrative Exposure therapy - a RCT in Eastern Democratic Republic of Congo. Behav Res Ther. 2019 Dec;123:103482. doi: 10.1016/j.brat.2019.103482. PMID: 31639529.",,2020
robjant2019_CurrentViol_AvsB_39_Comp_1,Psychotherapy,PTSD,92,Anger,Current Violent Behavior (32-item checklist),A vs B,Narrative Exposure Therapy (NET) vs Treatment as usual (TAU),Assessment at 6 to <12 Months,39,Completer,Difference in change from baseline: Group x Time interaction,,,,,,p<0.001,Endpoint difference,Cohen's d,-1.11,95% CI,-1.63,-0.65,p=significant,Community,0,0,1,1,,0,Other (former child soldiers),,Medium,"Robjant K, Koebach A, Schmitt S, et al. The treatment of posttraumatic stress symptoms and aggression in female former child soldiers using adapted Narrative Exposure therapy - a RCT in Eastern Democratic Republic of Congo. Behav Res Ther. 2019 Dec;123:103482. doi: 10.1016/j.brat.2019.103482. PMID: 31639529.",,2020
robjant2019_PHQ9_AvsB_12_Comp_1,Psychotherapy,PTSD,92,Depression,PHQ-9,A vs B,Narrative Exposure Therapy (NET) vs Treatment as usual (TAU),Assessment at 3 to <6 Months,12,Completer,Endpoint difference,Cohen's d,-0.72,95% CI,-1.22,-0.25,p=significant,,,,,,,,Community,0,0,1,1,,0,Other (former child soldiers),,Medium,"Robjant K, Koebach A, Schmitt S, et al. The treatment of posttraumatic stress symptoms and aggression in female former child soldiers using adapted Narrative Exposure therapy - a RCT in Eastern Democratic Republic of Congo. Behav Res Ther. 2019 Dec;123:103482. doi: 10.1016/j.brat.2019.103482. PMID: 31639529.",,2020
robjant2019_PHQ9_AvsB_39_Comp_1,Psychotherapy,PTSD,92,Depression,PHQ-9,A vs B,Narrative Exposure Therapy (NET) vs Treatment as usual (TAU),Assessment at 6 to <12 Months,39,Completer,Difference in change from baseline: Group x Time interaction,,,,,,p=0.008,Endpoint difference,Cohen's d,-0.57,95% CI,-1.03,-0.15,p=significant,Community,0,0,1,1,,0,Other (former child soldiers),,Medium,"Robjant K, Koebach A, Schmitt S, et al. The treatment of posttraumatic stress symptoms and aggression in female former child soldiers using adapted Narrative Exposure therapy - a RCT in Eastern Democratic Republic of Congo. Behav Res Ther. 2019 Dec;123:103482. doi: 10.1016/j.brat.2019.103482. PMID: 31639529.",,2020
rodgman2016_BAI_AvsB_0_Comp_1,Pharmacotherapy,PTSD,8,Anxiety,BAI,A vs B,Doxazosin vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p=0.762,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Rodgman C, Verrico CD, Holst M, et al. Doxazosin XL reduces symptoms of posttraumatic stress disorder in veterans with PTSD: a pilot clinical trial. J Clin Psychiatry. 2016 May;77(5):e561-5. doi: 10.4088/JCP.14m09681. PMID: 27249080.",49795,2019
rodgman2016_BDI_AvsB_0_Comp_1,Pharmacotherapy,PTSD,8,Depression,BDI,A vs B,Doxazosin vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p=0.565,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Rodgman C, Verrico CD, Holst M, et al. Doxazosin XL reduces symptoms of posttraumatic stress disorder in veterans with PTSD: a pilot clinical trial. J Clin Psychiatry. 2016 May;77(5):e561-5. doi: 10.4088/JCP.14m09681. PMID: 27249080.",49795,2019
rodgman2016_PSQI_AvsB_0_Comp_1,Pharmacotherapy,PTSD,8,Sleep,PSQI,A vs B,Doxazosin vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p=0.105,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Rodgman C, Verrico CD, Holst M, et al. Doxazosin XL reduces symptoms of posttraumatic stress disorder in veterans with PTSD: a pilot clinical trial. J Clin Psychiatry. 2016 May;77(5):e561-5. doi: 10.4088/JCP.14m09681. PMID: 27249080.",49795,2019
rosenbaum2015_DASS42An_AvsB_0_ITT_1,Complementary and integrative health (CIH),PTSD,81,Anxiety,DASS-42 - Anxiety,A vs B,Exercise vs Treatment as usual (TAU),End of Treatment,0,ITT,,partial eta-squared,0.17,,,,p=0.003,,,,,,,,Community,,,1,0.1605,,0.8395,Mixed,"other (trauma experienced through occupation, not specified)",Medium,"Rosenbaum S, Sherrington C, Tiedemann A. Exercise augmentation compared with usual care for post-traumatic stress disorder: a randomized controlled trial. Acta Psychiatr Scand. 2015 May;131(5):350-9. doi: 10.1111/acps.12371. PMID: 25443996.",44069,2019
rosenbaum2015_DASSDepre_AvsB_0_ITT_1,Complementary and integrative health (CIH),PTSD,81,Depression,DASS - Depression,A vs B,Exercise vs Treatment as usual (TAU),End of Treatment,0,ITT,,partial eta-squared,0.15,,,,p=0.006,,,,,,,,Community,,,1,0.1605,,0.8395,Mixed,"other (trauma experienced through occupation, not specified)",Medium,"Rosenbaum S, Sherrington C, Tiedemann A. Exercise augmentation compared with usual care for post-traumatic stress disorder: a randomized controlled trial. Acta Psychiatr Scand. 2015 May;131(5):350-9. doi: 10.1111/acps.12371. PMID: 25443996.",44069,2019
rosenbaum2015_PSQIAdden_AvsB_0_ITT_1,Complementary and integrative health (CIH),PTSD,81,Sleep,PSQI - Addendum for PTSD (total),A vs B,Exercise vs Treatment as usual (TAU),End of Treatment,0,ITT,,partial eta-squared,0.08,,,,p=0.04,,,,,,,,Community,,,1,0.1605,,0.8395,Mixed,"other (trauma experienced through occupation, not specified)",Medium,"Rosenbaum S, Sherrington C, Tiedemann A. Exercise augmentation compared with usual care for post-traumatic stress disorder: a randomized controlled trial. Acta Psychiatr Scand. 2015 May;131(5):350-9. doi: 10.1111/acps.12371. PMID: 25443996.",44069,2019
rothbaum1997_STAIS_AvsB_0_Comp_1,Psychotherapy,PTSD,21,Anxiety,STAI-S,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,Completer,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Rape/sexual assault,,Medium,Rothbaum BO. A controlled study of Eye Movement Desensitization and Reprocessing in the treatment of posttraumatic stress disordered sexual assault victims. Bull Menninger Clin. 1997 Summer;61(3):317-34.  PMID: 9260344.,9058,2019
rothbaum1997_STAIT_AvsB_0_Comp_1,Psychotherapy,PTSD,21,Anxiety,STAI-T,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,Completer,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Rape/sexual assault,,Medium,Rothbaum BO. A controlled study of Eye Movement Desensitization and Reprocessing in the treatment of posttraumatic stress disordered sexual assault victims. Bull Menninger Clin. 1997 Summer;61(3):317-34.  PMID: 9260344.,9058,2019
rothbaum2005_BDI_AvsB_0_Comp_1,Psychotherapy,PTSD,72,Depression,BDI,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Prolonged Exposure (PE),End of Treatment,0,Completer,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Rape/sexual assault,,Medium,"Rothbaum BO, Astin MC, Marsteller F. Prolonged exposure versus Eye Movement Desensitization and Reprocessing (EMDR) for PTSD rape victims. J Trauma Stress. 2005 Dec;18(6):607-16. doi: 10.1002/jts.20069. PMID: 16382428.",19662,2019
rothbaum2005_STAIS_AvsB_0_Comp_1,Psychotherapy,PTSD,72,Anxiety,STAI-S,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Prolonged Exposure (PE),End of Treatment,0,Completer,,,,,,,p=NS,,,,,,,,Community,,,1,1,,0,Rape/sexual assault,,Medium,"Rothbaum BO, Astin MC, Marsteller F. Prolonged exposure versus Eye Movement Desensitization and Reprocessing (EMDR) for PTSD rape victims. J Trauma Stress. 2005 Dec;18(6):607-16. doi: 10.1002/jts.20069. PMID: 16382428.",19662,2019
rothbaum2008_BDI_AvsB_0_ITT_1,Pharmacotherapy,PTSD,25,Depression,BDI,A vs B,Risperidone augmentation vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.37,,,,,,,,Community,,,1,0.8,,0.2,Mixed,"rape/sexual assault, intimate partner violence, accidents, community/school violence, other (stalking, break-in, witnessed killing or suicide attempt)",High,"Rothbaum BO, Killeen TK, Davidson JRT, et al. Placebo-controlled trial of risperidone augmentation for selective serotonin reuptake inhibitor-resistant civilian posttraumatic stress disorder. J. Clin. Psychiatry. 2008;69(4):520-5. doi: 10.4088/JCP.v69n0402. PMID: 18278987.",30519,2019
sannibale2013_Alcoholtime_AvsB_0_ITT_1,Psychotherapy,PTSD+SUD,62,Substance Use,Alcohol time-line follow-back: drinks per drinking day,A vs B,Integrated cognitive behavioral therapy for PTSD and AUD vs Cognitive behavioral therapy (CBT) for alcohol use,End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p=0.735,,,,,,,,Community,0,0,1,0.5323,,0.4677,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, intimate partner violence, accidents, other (""witnessed injury/killing/mutilation"", ""news of someone close"", ""danger of losing life/other"")",Medium,"Sannibale C, Teesson M, Creamer MC, et al. Randomized controlled trial of cognitive behaviour therapy for comorbid post-traumatic stress disorder and alcohol use disorders. Addiction. 2013 Aug;108(8):1397-410. doi: 10.1111/add.12167. PMID: 25328957.",40190,2020
sannibale2013_Alcoholtime_AvsB_20_ITT_1,Psychotherapy,PTSD+SUD,62,Substance Use,Alcohol time-line follow-back: drinks per drinking day,A vs B,Integrated cognitive behavioral therapy for PTSD and AUD vs Cognitive behavioral therapy (CBT) for alcohol use,Assessment at 3 to <6 Months,20,ITT,Treatment x Time interaction,,,,,,p=0.048,,,,,,,,Community,0,0,1,0.5323,,0.4677,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, intimate partner violence, accidents, other (""witnessed injury/killing/mutilation"", ""news of someone close"", ""danger of losing life/other"")",Medium,"Sannibale C, Teesson M, Creamer MC, et al. Randomized controlled trial of cognitive behaviour therapy for comorbid post-traumatic stress disorder and alcohol use disorders. Addiction. 2013 Aug;108(8):1397-410. doi: 10.1111/add.12167. PMID: 25328957.",40190,2020
sannibale2013_Alcoholtime_AvsB_39_ITT_1,Psychotherapy,PTSD+SUD,62,Substance Use,Alcohol time-line follow-back: drinks per drinking day,A vs B,Integrated cognitive behavioral therapy for PTSD and AUD vs Cognitive behavioral therapy (CBT) for alcohol use,Assessment at 6 to <12 Months,39,ITT,Treatment x Time interaction,,,,,,p=0.431,,,,,,,,Community,0,0,1,0.5323,,0.4677,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, intimate partner violence, accidents, other (""witnessed injury/killing/mutilation"", ""news of someone close"", ""danger of losing life/other"")",Medium,"Sannibale C, Teesson M, Creamer MC, et al. Randomized controlled trial of cognitive behaviour therapy for comorbid post-traumatic stress disorder and alcohol use disorders. Addiction. 2013 Aug;108(8):1397-410. doi: 10.1111/add.12167. PMID: 25328957.",40190,2020
sannibale2013_Alcoholtime_AvsB_39_ITT_2,Psychotherapy,PTSD+SUD,62,Substance Use,Alcohol time-line follow-back: proportion of days abstinent,A vs B,Integrated cognitive behavioral therapy for PTSD and AUD vs Cognitive behavioral therapy (CBT) for alcohol use,Assessment at 6 to <12 Months,39,ITT,Treatment effect,,,,,,p=0.053,,,,,,,,Community,0,0,1,0.5323,,0.4677,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, intimate partner violence, accidents, other (""witnessed injury/killing/mutilation"", ""news of someone close"", ""danger of losing life/other"")",Medium,"Sannibale C, Teesson M, Creamer MC, et al. Randomized controlled trial of cognitive behaviour therapy for comorbid post-traumatic stress disorder and alcohol use disorders. Addiction. 2013 Aug;108(8):1397-410. doi: 10.1111/add.12167. PMID: 25328957.",40190,2020
sannibale2013_AUDdiagnosi_AvsB_39_ITT_1,Psychotherapy,PTSD+SUD,62,Substance Use,AUD diagnosis,A vs B,Integrated cognitive behavioral therapy for PTSD and AUD vs Cognitive behavioral therapy (CBT) for alcohol use,Assessment at 6 to <12 Months,39,ITT,Treatment effect,,,,,,p=0.248,,,,,,,,Community,0,0,1,0.5323,,0.4677,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, intimate partner violence, accidents, other (""witnessed injury/killing/mutilation"", ""news of someone close"", ""danger of losing life/other"")",Medium,"Sannibale C, Teesson M, Creamer MC, et al. Randomized controlled trial of cognitive behaviour therapy for comorbid post-traumatic stress disorder and alcohol use disorders. Addiction. 2013 Aug;108(8):1397-410. doi: 10.1111/add.12167. PMID: 25328957.",40190,2020
sautter2015_CESD_AvsBPartner_0_ITT_1,Psychotherapy,PTSD,114,Depression,CES-D,A vs B - Partner,Structured Approach Therapy vs PTSD Family Education - Partner,End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p=0.94,,,,,,,,Veteran,,1,,,"Veterans: 1.75%
Partners: 98.25%",,,,Medium,"Sautter FJ, Glynn SM, Cretu JB, et al. Efficacy of structured approach therapy in reducing PTSD in returning veterans: A randomized clinical trial. Psychol Serv. 2015 Aug;12(3):199-212. doi: 10.1037/ser0000032. PMID: 26213789.",44509,2019
sannibale2013_BDIII_AvsB_39_ITT_1,Psychotherapy,PTSD+SUD,62,Depression,BDI-II,A vs B,Integrated cognitive behavioral therapy for PTSD and AUD vs Cognitive behavioral therapy (CBT) for alcohol use,Assessment at 6 to <12 Months,39,ITT,Treatment effect,,,,,,p=0.586,,,,,,,,Community,0,0,1,0.5323,,0.4677,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, intimate partner violence, accidents, other (""witnessed injury/killing/mutilation"", ""news of someone close"", ""danger of losing life/other"")",Medium,"Sannibale C, Teesson M, Creamer MC, et al. Randomized controlled trial of cognitive behaviour therapy for comorbid post-traumatic stress disorder and alcohol use disorders. Addiction. 2013 Aug;108(8):1397-410. doi: 10.1111/add.12167. PMID: 25328957.",40190,2020
sannibale2013_SADQC_AvsB_0_ITT_1,Psychotherapy,PTSD+SUD,62,Substance Use,SADQ-C,A vs B,Integrated cognitive behavioral therapy for PTSD and AUD vs Cognitive behavioral therapy (CBT) for alcohol use,End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p=0.381,,,,,,,,Community,0,0,1,0.5323,,0.4677,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, intimate partner violence, accidents, other (""witnessed injury/killing/mutilation"", ""news of someone close"", ""danger of losing life/other"")",Medium,"Sannibale C, Teesson M, Creamer MC, et al. Randomized controlled trial of cognitive behaviour therapy for comorbid post-traumatic stress disorder and alcohol use disorders. Addiction. 2013 Aug;108(8):1397-410. doi: 10.1111/add.12167. PMID: 25328957.",40190,2020
